"Product Code","Pricing Table ID (18 Digit)","Active","DI Brand Name","Website Tier","Invoice Group","Dealer Price Currency","Dealer Price","OEM Product Code"
"ROUTE-ONE-INTEGRATION","a8j5b000000tyNVAAY","1","Route One Integration","","GM_Alacarte","USD","99.00","DI_DRI_"
"ROI-DASH","a8j5b000000zug0AAA","0","ROI Dashboard","","GM_Alacarte","USD","0.00","NONE"
"PRIZM-DMS-CONNECTION","a8j5b000000txz9AAA","0","Enhanced Sales Reporting of PRIZM","","GM_Alacarte","USD","199.00","NONE"
"PRIZM-BASE","a8j5b000000txz8AAA","0","PRIZM Base","","GM_Alacarte","USD","0.00","NONE"
"PERSONALIZER-GEO","a8j5b000000txz7AAA","0","Personalizer with GeoFencing","","GM_Alacarte","USD","0.00","NONE"
"PASSTHROUGHSPEND","a8j5b000000tz52AAA","1","Pass Through DigAd Spend","","No Invoice Group","USD","0.00","NONE"
"ONSHOP-MRR","a8j5b000000zu41AAA","1","Online Shopper (CIQ)","","GM_Alacarte","USD","1099.00","DI_OS_"
"ONLINESHOP-ELECTRIC","a8j5b000000txz6AAA","0","Online Shopper Electric","","GM_Alacarte","USD","1099.00","NONE"
"NON-DI-CONVO-UNLIMITED","a8j5b000000txz5AAA","0","Conversations Managed Chat: Unlimited (OFF PLATFORM)","","GM_Conversations","USD","699.00","DI_OS_"
"NON-DI-CONVO-TRADEEVAL-UL","a8j5b000000txz4AAA","1","Conversations Managed Unlimited (Off Platform)","","GM_Conversations","USD","1000.00","DI_C2U_"
"NON-DI-CONVO-TRADEEVAL-SM","a8j5b000000txz3AAA","1","Conversations Self Managed (Off Platform)","","GM_Conversations","USD","600.00","DI_C2S_"
"NON-DI-CONVO-TRADEEVAL-50","a8j5b000000txz2AAA","1","Conversations Managed 50 (Off Platform)","","GM_Conversations","USD","800.00","DI_C2M_"
"NON-DI-CONVO-SELFMNGD","a8j5b000000txz1AAA","0","Conversations Self-Managed Chat: Base Chat (OFF PLATFORM)","","GM_Conversations","USD","349.00","DI_C2S_"
"NON-DI-CONVO-50","a8j5b000000txz0AAA","0","Conversations Managed Chat: Plus 50 (OFF PLATFORM)","","GM_Conversations","USD","529.00","DI_C2M_"
"MANAGED-SERVICES-STAND","a8j5b000000txyzAAA","0","B-MS Bundled 800 Credits or 8 Assets","","GM_Alacarte","USD","500.00","DI_MSSP_"
"MANAGED-SERVICES-STAND","a8jKi000000blJXIAY","1","Managed Services Standard (800 Credits)","","GM_Alacarte","USD","500.00","DI_MSSP_"
"MANAGED-SERVICES-DOM","a8j5b000000txyyAAA","1","Managed Services Dominate Package","","GM_Alacarte","USD","1500.00","DI_MSDP_"
"MANAGED-SERVICES-ADV","a8j5b000000txyxAAA","1","Managed Services Advanced Package","","GM_Alacarte","USD","1000.00","DI_MSAP_"
"MANAGED-SERVICES-400","a8j5b000000txywAAA","0","Managed Services Standard Package","","GM_Alacarte","USD","500.00","NONE"
"LEGACY-APPRAISER-PRO","a8j5b000000tyNNAAY","0","Accu-Trade Appraiser Pro","","GM_Alacarte","USD","0.00","NONE"
"LEGACY-APPRAISER-PLUS","a8j5b000000tyNMAAY","0","Accu-Trade Appraiser Plus","","GM_Alacarte","USD","0.00","NONE"
"LEGACY-ACCUTRADE","a8j5b000000tyNLAAY","0","Accu-Trade Appraiser Basic","","GM_Alacarte","USD","0.00","NONE"
"LEASECALC","a8j5b000000txyvAAA","0","Finance & Lease Calculator","","GM_Alacarte","USD","0.00","NONE"
"LANG-TOGGLE","a8j5b000000txyuAAA","1","Multilingual Website Translations","","GM_Alacarte","USD","349.00","DI_SSMLT_"
"INVENTORYSEARCHADS","a8j5b000000tz4JAAQ","1","Inventory Search Ads","","No Invoice Group","USD","0.00","NONE"
"IN-MARKET-VIDEO","a8j5b000000zwoNAAQ","1","In-Market Video","","No Invoice Group","USD","0.00","DI_IV_"
"IN-MARKET-DISPLAY","a8j5b000000zwp7AAA","1","In-Market Display","","No Invoice Group","USD","0.00","NONE"
"HOMEPAGE-REDESIGN","a8j5b000000zxEMAAY","1","Redesign Fee","","GM_Alacarte","USD","125.00","DI_RF_"
"FUEL-MRR","a8j5b000000txytAAA","1","Fuel PPC Software Fee (Non-Managed)","","GM_DigAd","USD","0.00","NONE"
"FCBK-DATA-PCKG-3","a8j5b000000tyyPAAQ","1","Facebook Data Package 3","","GM_DigAd","USD","699.00","DI_FIDP3_"
"FCBK-DATA-PCKG-2","a8j5b000000tyyOAAQ","1","Facebook Data Package 2","","GM_DigAd","USD","499.00","DI_FIDP2_"
"FCBK-DATA-PCKG-1","a8j5b000000tyyJAAQ","1","Facebook Data Package 1","","GM_DigAd","USD","399.00","DI_FIDP1_"
"FB-EXPORTS","a8j5b000000tyNWAAY","1","Facebook Exports","","GM_Alacarte","USD","149.00","DI_FIE_"
"DLRTRACK-CREDITAPP-INTEGRATION","a8j5b000000txyrAAA","1","Dealer Track Credit App Integration","","GM_Alacarte","USD","99.00","DI_DRI_"
"DIWEBPKG-SECONDARY","a8j5b000000txv2AAA","1","Secondary multi-line discounted Tier 2 website package","DIWEB-TIER2","GM_Website","USD","1799.00","DI_P1_"
"DIWEBPKG-SECONDARY","a8j5b000000txv1AAA","1","Secondary multi-line discounted Tier 1 website package","DIWEB-TIER1","GM_Website","USD","1239.00","DI_B_"
"DIWEBPKG-SECONDARY","a8j5b000000txv3AAA","1","Secondary multi-line discounted Tier 3 website package","DIWEB-TIER3","GM_Website","USD","2679.00","DI_P_"
"DIWEBPKG-SECONDARY","a8j5b000000txv4AAA","1","Secondary multi-line discounted Tier 4 website package","DIWEB-TIER4","GM_Website","USD","0.00",""
"DIWEBPKG","a8j5b000000txynAAA","1","Base Website Package","DIWEB-TIER1","GM_Website","USD","1549.00","DI_B_"
"DIWEBPKG","a8j5b000000txyoAAA","1","Plus Website Package","DIWEB-TIER2","GM_Website","USD","2249.00","DI_P1_"
"DIWEBPKG","a8j5b000000txypAAA","1","Premier Website Package","DIWEB-TIER3","GM_Website","USD","3349.00","DI_P_"
"DIWEBPKG","a8j5b000000txyqAAA","0","Tier 4 Website Package","DIWEB-TIER4","GM_Website","USD","0.00","NONE"
"DISPLAY","a8j5b000000tz5QAAQ","1","Programmatic Display","","No Invoice Group","USD","0.00","DI_DA_"
"DIG-AD-SPEND-GM-VID","a8j5b000000txymAAA","1","Digital Advertising Spend (Video)","","GM_DigAd","USD","0.00","DI_V_"
"DIG-AD-SPEND-GM-FO","a8j5b000000txylAAA","1","Digital Advertising Spend (Fixed Ops)","","GM_Fixed_Ops","USD","0.00","DI_PSP1_"
"DIG-AD-SPEND-GM-BE","a8j5b000000txykAAA","1","Digital Advertising Spend (Business Elite)","","GM_Business_Elite","USD","0.00","DI_CPPFBED_"
"DIG-AD-SPEND-GM","a8j5b000000txyjAAA","1","Digital Advertising Spend","","GM_DigAd","USD","0.00","DI_DPP1_"
"DIG-AD-SPEND-FEE-CAP-GM","a8jKi000000bnMHIAY","1","Digital Advertising Spend - Fee Cap","","GM_DigAd","USD","0.00","digadcode87"
"DIG-AD-BOOST-GM-CMPGN3","a8j5b000000txyiAAA","1","Digital Ad Boost - GM Campaign 3","","GM_DigAd_Boost","USD","0.00","NONE"
"DIG-AD-BOOST-GM-CMPGN2","a8j5b000000txyhAAA","1","Digital Ad Boost - GM Campaign 2","","GM_DigAd_Boost","USD","0.00","NONE"
"DIG-AD-BOOST-GM-CMPGN1","a8j5b000000txygAAA","1","Digital Ad Boost - GM Campaign 1","","GM_DigAd_Boost","USD","0.00","NONE"
"DICUSTOMDEV","a8j5b000000txyfAAA","0","DI Custom Development (One-Time)","","GM_Alacarte","USD","125.00","DI_ADH_"
"D2C2","a8j5b000000txydAAA","0","Live Inventory and Incentives Support","","GM_Alacarte","USD","199.00","NONE"
"CUSTOMDEV","a8j5b000000txycAAA","1","Redesign Fee (per hour)","","GM_Alacarte","USD","125.00","DI_RF_"
"CROSERVICES","a8j5b000000txybAAA","0","CRO Services","","GM_Alacarte","USD","125.00","NONE"
"CONVO-UNLIMITED","a8j5b000000txyaAAA","0","Conversations Managed Chat: Unlimited","","GM_Conversations","USD","699.00","DI_C2U_"
"CONVO-TRADEEVAL-UL","a8j5b000000txyZAAQ","1","Conversations Managed Unlimited","","GM_Conversations","USD","1000.00","DI_C2U_"
"CONVO-TRADEEVAL-SM","a8j5b000000txyYAAQ","1","Conversations Self Managed","","GM_Conversations","USD","600.00","DI_C2S_"
"CONVO-TRADEEVAL-50","a8j5b000000txyXAAQ","1","Conversations Managed 50","","GM_Conversations","USD","800.00","DI_C2M_"
"CONVO-SELFMNGD","a8j5b000000txyWAAQ","0","Conversations Self-Managed Chat: Base Chat","","GM_Conversations","USD","349.00","DI_C2S_"
"CONVO-50","a8j5b000000txyVAAQ","0","Conversations Managed Chat: Plus 50","","GM_Conversations","USD","529.00","DI_C2M_"
"CARS-PREMIUM-DISPLAY","a8j5b000000tz4eAAA","1","Cars Premium Display","","No Invoice Group","USD","0.00","NONE"
"CARS-FOR-SALE-A-LA-CARTE","a8j5b000000tyTHAAY","0","Cars For Sale A la Carte","","GM_Alacarte","USD","79.00","NONE"
"CARS-FOR-SALE","a8j5b000000txyUAAQ","0","Cars For Sale","","GM_Alacarte","USD","0.00","DI_GBPCFS_"
"CALL-TRACKING-GM","a8j5b000000txyTAAQ","0","Call Tracking","","GM_Alacarte","USD","0.00","NONE"
"AUDIOEYE","a8j5b000000txySAAQ","0","AudioEye - ADA Accessibility","","GM_Alacarte","USD","350.00","NONE"
"APPLEWALLET","a8j5b000000txyRAAQ","0","DI Wallet","","GM_Alacarte","USD","0.00","NONE"
"ANALYTICS-B","a8j5b000000zxEHAAY","1","Analytics Package B","","GM_Alacarte","USD","2000.00","DI_APB_"
"ANALYTICS","a8j5b000000zxEFAAY","1","Analytics Package A","","GM_Alacarte","USD","1000.00","DI_APA_"
"ALACARTECOMM_25","a8j5b000000txyQAAQ","1","Social Media Management","","GM_DigAd","USD","500.00","DI_SMM_"
"AlacarteBase_25","a8j5b000000txyPAAQ","1","Video Production","","GM_DigAd","USD","125.00","NONE"
"ACCUTRADE-CORE","a8j5b000000tyNKAAY","0","Accu-Trade Core","","GM_Alacarte","USD","499.00","AT_AC_"
